id_bahan,nama,satuan,serving_size,kalori,protein,lemak,karbo
B6,bayam,gr,100,40,2.88,2.25,3.68
B60,tepung maizena,gr,100,360,1,0,89
B61,cream cheese,gr,30,40,3,2.5,1
B62,biskuit,gr,15,70,1,1.5,12
B63,sayap ayam,potong,1,92,8.52,6.18,0
B64,tepung tapioka,gr,100,360,0,0,89
B65,pak choi,lembar,0,0,0,0,0
B66,pasta,gr,100,200,8,1,40
B67,udang,gr,100,144,27.59,2.35,1.24
B68,tomat,gr,100,18,0.88,0.2,3.92
B69,kemangi,tangkai,0,0,0,0,0
B7,daun salam,lembar,0,0,0,0,0
B70,garam,sdt,0,0,0,0,0
B71,kemiri,butir,0,0,0,0,0
B72,telur puyuh,butir,1,14,1.17,1,0.04
B73,kaldu ayam bubuk,sdt,0,0,0,0,0
B74,tepung terigu,gr,100,364,10.33,0.98,76.31
B75,tepung panir,sdm,1,37,1.1,0.2,7.6
B76,lengkuas,cm,0,0,0,0,0
B77,wijen putih,sdt,0,0,0,0,0
B78,minyak zaitun,ml,0,0,0,0,0
B79,kaldu ikan,ml,0,0,0,0,0
B8,sereh,batang,0,0,0,0,0
B80,daun caisim,lembar,0,0,0,0,0
B81,bubuk bawang putih,sdt,0,0,0,0,0
B82,jeruk baby,ml,100,47,0.73,0.21,10.9
B83,buah naga,gr,100,51,0.78,0.38,12.38
B84,lemon,sdm,0,0,0,0,0
B85,krim,ml,15,50,0.4,5.3,0.5
B86,jahe bubuk,sdt,0,0,0,0,0
B87,pala bubuk,sdt,0,0,0,0,0
B88,seledri,tangkai,0,0,0,0,0
B89,tepung ubi ungu,gr,100,77.5,1.4,0.1,17.5
B9,bawang merah,siung,0,0,0,0,0
B90,pisang,buah,1,105,1.3,0.4,26.9
B91,iga,gr,100,254,19.33,19.06,0
B92,alpukat,buah,1,332,4.02,29.47,17.15
B93,margarin,gr,100,526,0.6,59.17,0
B94,tempe,gr,100,193,18.54,10.8,9.39
B95,kecap asin,sdt,0,0,0,0,0
B96,kecap ikan,sdt,0,0,0,0,0
B97,saus tomat,sdt,0,0,0,0,0
B98,ikan tenggiri,gr,100,121,21.4,3.3,0
B99,kakap,gr,100,100,20.51,1.34,0
